address;zipcode;city
Centre Commercial Les 3 Fontaines;45140;Saint jean de la ruelle
Rue de la Maille;10800;Saint julien les villas
Rond Point de Normandie Niemen;69800;Saint priest
Avenue d'Echenilly;10120;Saint-andre les vergers
Route de Vierzon;18230;Saint-doulchard
940 Route Nationale 20;45770;Saran
Rue des Marechaux;49400;Saumur
Rue du Hainault;77260;Sept sorts
Centre Commercial Val D'Europe;77700;Serris
Rue Cave l'Eveque;80230;St valery sur somme
Rond Point de l'Universite;33400;Talence
39 Rue de Bordeaux;37000;Tours
Avenue Marcel Merieux;37000;Tours
2 Rue Albert Einstein;37100;Tours
Centre Commercial Carrefour;76410;Tourville la riviere
Centre Commercial Continent;83720;Trans en provence
Boulevard Gambetta;10000;Troyes
333 Avenue de Romans;26000;Valence
38 Route Nationale 10;41100;Vendome
Galerie des Maneges;78000;Versailles
9, rue du Marechal Foch;78000;Versailles
Place de l'Arbre de La Liberte;91270;Vigneux sur seine
202 Rue Leon Blum;69100;Villeurbanne
Place Villajoyosa;35502;Vitre
Centre Commercial Carrefour;13127;Vitrolles
Rue Marceau Balliot;91330;Yerres
